"","ID","consent","segmentation.westinC.","segmentation.westinM.","segmentation.westinE.","sebisLikert.sebisF04.","sebisLikert.sebisF06.","sebisLikert.sebisF03.","sebisLikert.sebisF05.","sebisLikert.sebisF12.","sebisLikert.sebisF12.-inverted","sebisLikert.sebisF13.","sebisLikert.sebisF15.","sebisLikert.sebisF14.","sebisLikert.sebisF14.-inverted","sebisLikert.sebisF08.","sebisLikert.sebisF08.-inverted","sebisLikert.sebisCheck.","sebisLikert.sebisF11.","sebisLikert.sebisF11.-inverted","sebisLikert.sebisF16.","sebisLikert.sebisF16.-inverted","sebisLikert.sebisF10.","sebisLikert.sebisF07.","sebisLikert.sebisF07.-inverted","sebisLikert.sebisF01.","sebisLikert.sebisF02.","sebisLikert.sebisF09.","virusLikert.folkV01.","virusLikert.folkV02.","virusLikert.folkV03.","virusLikert.folkV04.","virusLikert.folkV05.","virusLikert.folkV06.","virusLikert.folkV07.","virusLikert.folkV08.","virusLikert.folkV09.","virusLikert.folkV10.","virusLikert.folkV11.","virusLikert.folkV12.","virusLikert.folkV13.","virusLikert.folkV14.","virusLikert.folkV15.","virusLikert.folkV16.","virusLikert.folkV17.","virusLikert.folkV18.","virusPrecautions.folkVP01.","virusPrecautions.folkVP02.","virusPrecautions.folkVP03.","virusPrecautions.folkVP04.","virusPrecautions.folkVP05.","virusPrecautions.folkVP06.","virusPrecautions.folkVP07.","virusPrecautions.folkVP08.","hackersLikert.folkH01.","hackersLikert.folkH02.","hackersLikert.folkH03.","hackersLikert.folkH04.","hackersLikert.folkH05.","hackersLikert.folkH06.","hackersLikert.folkH07.","hackersLikert.folkH08.","hackersLikert.folkHCheck.","hackersLikert.folkH09.","hackersLikert.folkH10.","hackersLikert.folkH11.","hackersLikert.folkH12.","hackersLikert.folkH13.","hackersLikert.folkH14.","hackersLikert.folkH15.","hackersLikert.folkH16.","hackerPrecautions.folkHP01.","hackerPrecautions.folkHP02.","hackerPrecautions.folkHP03.","hackerPrecautions.folkHP04.","hackerPrecautions.folkHP05.","hackerPrecautions.folkHP06.","hackerPrecautions.folkHP07.","hackerPrecautions.folkHP08.","hackerPrecautions.folkHP09.","hackerPrecautions.folkHP10.","cybok01","cybok02","cybok03","cybok04","cybok05","cybok06","cybok07","cybok08","cybok09","cybok10","cybok11","cybok12","cybok13","cybok14","cybok15","cybok16","cybok17","cybok18","cybok19","onlineActivities.email.","onlineActivities.sn.","onlineActivities.news.","onlineActivities.conf.","onlineActivities.im.","onlineActivities.stream.","onlineActivities.games.","onlineHours","general.folkG01.","general.folkG02.","general.folkG03.","general.folkG04.","general.folkG05.","general.folkG06.","general.folkG07.","general.folkG08.","edu","ITbg","cyberBg","highschool","undergrad","englishLevel","courses.cs.","courses.net.","courses.os.","courses.usec.","courses.se.","courses.prof.","courses.hci.","courses.crypto.","courses.sp.","courses.block.","courses.ethics.","courses.cyber.","courses.iot.","courses.st.","courses.arch.","courses.ds.","courses.none.","courseCurrent.sd.","courseCurrent.crypto.","courseCurrent.iot.","courseCurrent.sp.","courseCurrent.arch.","courseCurrent.usec.","courseCurrent.os.","courseCurrent.st.","courseCurrent.cs.","courseCurrent.none.","certificates","age","gender","courseConsent","researchConsent","interviewtime","westin","device","password","awareness","updating"
"13",13,"Agree",4,1,3,3,5,3,5,4,2,5,4,1,5,2,4,5,3,3,1,5,2,2,4,2,4,2,3,1,2,3,3,2,2,2,2,3,4,2,3,2,2,5,4,1,3,4,4,2,2,5,4,5,4,2,3,3,2,3,4,2,2,3,4,4,2,3,4,4,4,2,3,3,4,5,4,1,5,2,5,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,"2-3 Times a Month","Multiple Times a Day","2-3 Times a Week","Never","Multiple Times a Day","Daily","2-3 Times a Week","8-10 hours",5,5,5,5,5,5,5,5,"UG4 student",1,"None","United Kingdom","","Native speaker",0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,"0",23,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",929.04,"Pragmatist",4,4,3.6,2.66666666666667
"14",14,"Agree",2,1,2,3,5,5,5,2,4,5,5,1,5,2,4,5,1,5,1,5,5,2,4,4,5,5,4,1,3,3,3,3,1,3,1,2,3,1,2,1,1,3,4,1,3,5,5,3,5,5,5,5,4,3,2,5,3,4,3,2,2,3,3,4,5,3,4,5,2,4,5,5,4,5,5,3,5,3,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"Multiple Times a Day","Multiple Times a Day","Once a Week","2-3 Times a Month","Multiple Times a Day","2-3 Times a Week","2-3 Times a Week","More than 10 hours",5,5,5,5,5,5,5,5,"UG3 student",1,"None","EU","","Fluent",0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",19,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",852.43,"Pragmatist",4.5,4.75,4.6,4.66666666666667
"15",15,"Agree",4,1,3,2,5,5,5,5,1,4,2,1,5,1,5,5,2,4,2,4,1,1,5,4,3,5,4,1,2,3,1,3,2,1,2,1,3,1,3,1,1,1,3,1,5,5,4,3,3,5,4,4,2,3,3,3,3,3,3,4,2,3,3,4,3,4,4,3,4,2,4,2,2,4,5,2,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"Daily","Multiple Times a Day","Daily","2-3 Times a Week","Multiple Times a Day","2-3 Times a Week","Once a Week","8-10 hours",3,5,4,2,5,2,3,2,"MSc (Masters) student",0,"None","overseas","overseas","Intermediate",0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,"0",24,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",945.24,"Pragmatist",4.25,3,3.8,4
"16",16,"Agree",2,3,3,5,5,1,5,4,2,3,4,2,4,2,4,5,2,4,3,3,2,2,4,2,5,1,3,1,2,2,3,3,2,3,2,1,3,1,4,4,3,5,4,1,1,5,5,1,1,5,4,5,4,3,3,4,3,3,3,3,2,3,3,4,3,3,3,4,3,4,5,5,5,5,5,2,5,1,5,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,"Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","5-7 hours",5,5,5,5,5,5,5,5,"PhD student",1,"None","EU","overseas","Fluent",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0",25,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",712.55,"Unconcerned",4,3.25,3.4,2.66666666666667
"18",18,"Agree",4,2,2,5,5,4,5,4,2,5,3,1,5,2,4,5,3,3,3,3,4,2,4,2,3,3,2,1,3,3,3,3,1,3,1,2,4,2,3,4,1,5,4,1,5,5,4,4,3,4,4,4,4,3,3,4,3,3,3,2,2,3,3,4,4,3,3,4,3,1,3,1,4,4,5,3,3,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Multiple Times a Day","Daily","Multiple Times a Day","2-3 Times a Week","2-3 Times a Week","Multiple Times a Day","Never","5-7 hours",3,4,4,3,4,2,2,3,"MSc (Masters) student",0,"None","EU","EU","Native speaker",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",32,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",675.4,"Fundamentalist",4.75,3.75,3.6,2.66666666666667
"19",19,"Agree",4,1,2,5,5,5,5,4,2,3,4,2,4,4,2,5,2,4,4,2,4,4,2,4,4,1,4,1,4,2,3,4,2,2,2,3,4,1,4,3,3,4,5,1,2,2,5,2,2,4,4,5,3,3,3,5,3,3,3,3,2,3,3,3,4,3,3,5,3,2,4,1,4,4,3,2,4,2,5,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,"Multiple Times a Day","Daily","Once a Week","Never","Daily","2-3 Times a Week","2-3 Times a Week","5-7 hours",5,5,5,4,4,4,4,5,"PhD student",1,"None","EU","United Kingdom","Native speaker",1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"0",25,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1454.91,"Fundamentalist",5,3.25,2.8,3
"20",20,"Agree",4,2,2,5,5,5,5,4,2,4,5,1,5,2,4,5,2,4,1,5,4,3,3,4,5,3,3,2,3,3,3,3,2,3,1,3,3,2,3,2,4,4,4,2,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,4,5,5,2,4,5,3,3,1,5,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,"Multiple Times a Day","2-3 Times a Week","Multiple Times a Day","2-3 Times a Month","Multiple Times a Day","Once a Week","Never","8-10 hours",5,5,4,4,2,4,4,5,"UG5/MInf student",1,"0-3 years","EU","","Fluent",1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",22,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",5130.07,"Fundamentalist",5,4,4,4
"21",21,"Agree",3,1,2,1,5,4,2,4,2,3,2,4,2,4,2,5,2,4,3,3,2,4,2,2,2,1,3,1,3,1,1,3,1,3,1,1,3,1,2,2,1,5,4,1,5,5,5,1,2,4,5,4,3,4,2,3,2,3,2,1,2,2,1,4,2,2,3,4,1,1,2,1,4,4,4,2,2,2,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,"Multiple Times a Day","Multiple Times a Day","Daily","Once a Month or Less","Multiple Times a Day","2-3 Times a Week","2-3 Times a Month","5-7 hours",4,5,4,2,2,2,4,4,"UG4 student",1,"None","EU","","Fluent",0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",21,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1856.81,"Fundamentalist",3,2.25,2.6,1.66666666666667
"22",22,"Agree",3,1,1,1,1,1,5,5,1,2,2,5,1,4,2,5,3,3,1,5,2,1,5,3,4,1,4,1,4,2,3,3,3,3,1,1,4,1,3,3,4,5,5,1,1,5,5,4,1,5,5,5,3,1,5,5,4,3,3,3,2,5,3,5,5,5,5,5,1,1,4,1,2,5,5,1,4,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Daily","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","8-10 hours",5,4,4,4,2,4,2,4,"UG1/UG2 student",0,"None","EU","","Intermediate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"0",20,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",4824.59,"Fundamentalist",2,1.5,3.4,2.66666666666667
"23",23,"Agree",2,2,3,5,5,2,5,5,1,3,3,4,2,2,4,5,4,2,3,3,2,3,3,2,2,2,4,2,2,2,3,4,2,4,2,3,4,3,2,3,3,5,4,4,2,3,4,2,2,5,4,5,3,4,3,3,4,4,3,3,2,3,3,3,3,4,4,3,3,2,2,3,4,3,3,2,3,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","Never","Once a Week","Daily","Never","8-10 hours",3,3,3,3,3,3,3,3,"MSc (Masters) student",1,"None","overseas","United Kingdom","Fluent",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",22,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",761.95,"Pragmatist",4.25,2.25,2.8,2
"24",24,"Agree",2,3,3,5,5,3,5,4,2,3,4,4,2,3,3,5,4,2,2,4,4,2,4,4,4,4,4,2,2,2,3,3,3,4,4,2,4,2,2,3,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,1,4,4,3,4,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2-3 Times a Week","2-3 Times a Week","2-3 Times a Week","Never","Once a Month or Less","Once a Week","2-3 Times a Week","5-7 hours",3,3,3,2,3,3,3,3,"UG1/UG2 student",0,"None","United Kingdom","","Native speaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"0",19,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",791.27,"Unconcerned",4.5,2.75,3.4,4
"25",25,"Agree",4,1,2,5,5,3,5,4,2,3,3,1,5,1,5,5,2,4,1,5,5,1,5,5,5,4,4,1,3,3,1,3,1,2,1,3,1,1,3,4,1,5,5,4,4,5,5,5,5,5,4,5,4,4,3,4,3,1,5,2,2,5,3,4,1,3,3,4,1,2,5,3,5,5,5,2,5,5,5,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,"Multiple Times a Day","Multiple Times a Day","Daily","Once a Month or Less","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","8-10 hours",5,5,5,5,5,5,5,5,"UG4 student",1,"None","EU","","Fluent",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,"0",21,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",646.92,"Fundamentalist",4.5,3.25,4.8,4.66666666666667
"26",26,"Agree",4,3,1,5,5,5,5,4,2,3,2,3,3,2,4,5,4,2,4,2,4,2,4,2,4,2,3,2,3,4,3,3,2,3,2,3,3,2,3,3,2,5,4,2,3,3,4,2,3,5,3,4,4,4,4,5,4,3,2,4,2,5,4,5,3,4,5,5,3,2,1,1,3,4,2,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","2-3 Times a Week","Multiple Times a Day","Once a Week","Never","2-4 hours",5,5,5,2,5,4,2,2,"UG1/UG2 student",0,"None","overseas","","Native speaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"0",19,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",560.46,"Pragmatist",5,2.5,3.2,2.66666666666667
"27",27,"Agree",4,1,3,1,1,1,5,5,1,3,4,4,2,2,4,5,5,1,3,3,3,1,5,4,5,5,5,2,4,4,3,5,1,5,1,5,4,2,5,3,4,5,5,1,5,5,5,5,5,5,5,5,4,3,1,3,5,5,3,5,2,4,3,5,5,3,4,5,1,3,5,5,2,5,5,3,4,5,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","Daily","Daily","Daily","Daily","8-10 hours",4,1,3,3,1,4,1,2,"UG1/UG2 student",0,"None","EU","","Fluent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"0",19,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",2266.03,"Pragmatist",2,2.5,3.2,4.66666666666667
