Question code 1;Question code 2;Block Question;Individual Question
cybok10;; Do you know anything about hardware security?  Examples include Trusted Platform Modules (TPMs) and secure boot, as well as hardware roots of trust, hardware design and security architectures as well as hardware attacks (such as side-channels), hardware defenses, and hardware accelerated cryptography.;
cybok11;; Do you know anything about network security?  Examples include network defence tools such as intrusion detection, packet filters and firewalls; network vulnerabilities and threats, and network technologies such as routing protocols, IP networks, wireless and wired networks.
cybok12;; Do you know anything about physical-layer or telephony security?  Examples include signalling and telephone protocols, telecommunications security, and attacks which rely upon the emanations from physical media (such as TEMPEST).;
cybok13;; Do you know anything about the secure software development lifecycle?  Examples include code reviews, patch management, devops, development processes, fuzzing, static and dynamic analysis tools, the use of formal methods for security as well as attack modelling and developer training.;
cybok14;; Do you know anything about software security?  Examples include software and memory management attacks, CVEs and CWEs, structured input attacks (such as SQL injection), security API design, coding guidelines, techniques for mitigating exploits (such as address space layout randomisation or sandboxing), as well as techniques for finding vulnerabilities.;
cybok15;; Do you know anything about web or mobile security?  Examples include Javascript security models, browser based attacks such as cross site scripting, firewalls, authentication protocols and phishing and app isolation and deployment mechanisms.;
cybok16;; Do you know anything about authentication, authorisation or accountability?  Examples include access control models, policies, public key infrastructure, multi-factor authentication, biometrics and logging techniques.;
cybok17;; Do you know anything about cryptography?  Examples include various encryption schemes such as RSA, AES, RC4, as well as game theoretic models for security, digital signatures and zero- knowledge proofs.;
cybok18;; Do you know anything about distributed systems security?  Examples include security considerations in middleware architectures, distributed protocols such as LDAP, NTP, byzantine agreements, blockchains, cloud architectures, peer-to-peer networks and trust management.;
cybok19;; Do you know anything about operating systems or virtualisation?  Examples include database security, VM architectures and attacks, OS protection mechanisms such as address space layout randomisation, access control, and paging, as well as information flow models and the trusted computing base.;
onlineActivities; email; How often do you do the following activities online (on any device, e.g. desktop, tablet, mobile)? ; Email
onlineActivities; sn; How often do you do the following activities online (on any device, e.g. desktop, tablet, mobile)? ; Social Media (e.g. Facebook, Twitter)
onlineActivities; news; How often do you do the following activities online (on any device, e.g. desktop, tablet, mobile)? ; Read news
onlineActivities; conf; How often do you do the following activities online (on any device, e.g. desktop, tablet, mobile)? ; Audio/Video conference
onlineActivities; im; How often do you do the following activities online (on any device, e.g. desktop, tablet, mobile)? ; Instant Message
onlineActivities; stream; How often do you do the following activities online (on any device, e.g. desktop, tablet, mobile)? ; Stream audio or video (e.g. Hulu, Netflix, Pandora)
onlineActivities; games; How often do you do the following activities online (on any device, e.g. desktop, tablet, mobile)? ; Play games
onlineHours;; On a typical day, how many hours do you spend online?;
general; folkG01; Please indicate whether you agree or disagree with the following statements. ; I feel confident trouble shooting Internet problems
general; folkG02; Please indicate whether you agree or disagree with the following statements. ; I feel confident using the Internet to gather data
general; folkG03; Please indicate whether you agree or disagree with the following statements. ; I feel confident learning advanced skills within a specific Internet program
general; folkG04; Please indicate whether you agree or disagree with the following statements. ; I feel confident describing functions of Internet hardware
general; folkG05; Please indicate whether you agree or disagree with the following statements. ; I feel confident turning to an on­line discussion group when help is needed
general; folkG06; Please indicate whether you agree or disagree with the following statements. ; I feel confident understanding terms/words relating to Internet hardware
general; folkG07; Please indicate whether you agree or disagree with the following statements. ; I feel confident explaining why a task will not run on the Internet
general; folkG08; Please indicate whether you agree or disagree with the following statements. ; I feel confident understanding terms/words relating to Internet software
edu;; Which of the following best describes you?;
edu; other; Which of the following best describes you? ; Other
ITbg;;" Have you ever worked in a """"high tech"""" job such as computer programming, IT, or computer networking?";
cyberBg;; Do you have any industrial experience of cybersecurity or a related discipline; for example as a security engineer?
highschool;; Where did you get your high school diploma?;
highschool; other; Where did you get your high school diploma? ; Other
undergrad;; If you are a postgraduate student, where did you do your undergraduate studies?;
undergrad; other; If you are a postgraduate student, where did you do your undergraduate studies? ; Other
englishLevel;; Please rate your ability in English.;
courses; cs; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Computer Security (Information Security)
courses; net; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Networking and Communication (Computer Networks)
courses; os; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Operating Systems
courses; usec; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Usable Security and Privacy
courses; se; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Software Engineering
courses; prof; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Social Issues and Professional Practice
courses; hci; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Human-Computer Interaction
courses; crypto; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Cryptography
courses; sp; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Secure Programming
courses; block; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Blockchains and Distributed Ledgers
courses; ethics; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Ethics
courses; cyber; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Cybercrime and Cyber Security
courses; iot; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; IoT Systems, Security, and the Cloud
courses; st; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Software Testing
courses; arch; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Software Architecture, Process, and Management
courses; ds; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Distributed Systems
courses; none; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; None of above
courses; other; Which subject areas below have you covered in previous courses here or at any other university? (please do not include courses you are taking now) ; Other
courseCurrent; sd; Which of the following courses are you currently enrolled in? ; Software Development
courseCurrent; crypto; Which of the following courses are you currently enrolled in? ; Introduction to Modern Cryptography
courseCurrent; iot; Which of the following courses are you currently enrolled in? ; Internet of Things Systems, Security, and the Cloud (IoTSSC)
courseCurrent; sp; Which of the following courses are you currently enrolled in? ; Secure Programming
courseCurrent; arch; Which of the following courses are you currently enrolled in? ; Software Architecture, Process, and Management
courseCurrent; usec; Which of the following courses are you currently enrolled in? ; Usable Security and Privacy
courseCurrent; os; Which of the following courses are you currently enrolled in? ; Operating Systems
courseCurrent; st; Which of the following courses are you currently enrolled in? ; Software Testing
courseCurrent; cs; Which of the following courses are you currently enrolled in? ; Computer Security
courseCurrent; none; Which of the following courses are you currently enrolled in? ; None of above
certificates;; Do you have any security certificates such as Security+, Certified Ethical Hacker, CCNA Security, etc.?;
certificates; other; Do you have any security certificates such as Security+, Certified Ethical Hacker, CCNA Security, etc.? ; Other
age;; What is your age?;
gender;; What is your gender?;
gender; other; What is your gender? ; Other
courseConsent;;" Use my answers in the Usable Security and Privacy course.  The Usable Security and Privacy course will use the information in this survey to learn about survey design and analysis. If you answer """"yes"""" to this question, we will include your fully anonymised answers in the data set we provide to the students. Having data from many different people will greatly help students in the course with their learning.   ";
researchConsent;;" Use my answers for research.  If you indicate """"yes"""", we will use your fully anonymised answers in academic research to better understand how students in different courses think about security and use it in their daily lives. This research may impact educators in how we design courses to better support the needs of students as well as impact the types of post-university education employers may want to make available.";
comment;; Any comments or thoughts you would like to share with us? (These will not be shared with the USec course.);
interviewtime;; Total time;
