"ID","consent","segmentation.westinC.","segmentation.westinM.","segmentation.westinE.","sebisLikert.sebisF04.","sebisLikert.sebisF06.","sebisLikert.sebisF03.","sebisLikert.sebisF05.","sebisLikert.sebisF12.","sebisLikert.sebisF13.","sebisLikert.sebisF15.","sebisLikert.sebisF14.","sebisLikert.sebisF08.","sebisLikert.sebisCheck.","sebisLikert.sebisF11.","sebisLikert.sebisF16.","sebisLikert.sebisF10.","sebisLikert.sebisF07.","sebisLikert.sebisF01.","sebisLikert.sebisF02.","sebisLikert.sebisF09.","virusLikert.folkV01.","virusLikert.folkV02.","virusLikert.folkV03.","virusLikert.folkV04.","virusLikert.folkV05.","virusLikert.folkV06.","virusLikert.folkV07.","virusLikert.folkV08.","virusLikert.folkV09.","virusLikert.folkV10.","virusLikert.folkV11.","virusLikert.folkV12.","virusLikert.folkV13.","virusLikert.folkV14.","virusLikert.folkV15.","virusLikert.folkV16.","virusLikert.folkV17.","virusLikert.folkV18.","virusPrecautions.folkVP01.","virusPrecautions.folkVP02.","virusPrecautions.folkVP03.","virusPrecautions.folkVP04.","virusPrecautions.folkVP05.","virusPrecautions.folkVP06.","virusPrecautions.folkVP07.","virusPrecautions.folkVP08.","hackersLikert.folkH01.","hackersLikert.folkH02.","hackersLikert.folkH03.","hackersLikert.folkH04.","hackersLikert.folkH05.","hackersLikert.folkH06.","hackersLikert.folkH07.","hackersLikert.folkH08.","hackersLikert.folkHCheck.","hackersLikert.folkH09.","hackersLikert.folkH10.","hackersLikert.folkH11.","hackersLikert.folkH12.","hackersLikert.folkH13.","hackersLikert.folkH14.","hackersLikert.folkH15.","hackersLikert.folkH16.","hackerPrecautions.folkHP01.","hackerPrecautions.folkHP02.","hackerPrecautions.folkHP03.","hackerPrecautions.folkHP04.","hackerPrecautions.folkHP05.","hackerPrecautions.folkHP06.","hackerPrecautions.folkHP07.","hackerPrecautions.folkHP08.","hackerPrecautions.folkHP09.","hackerPrecautions.folkHP10.","cybok01","cybok02","cybok03","cybok04","cybok05","cybok06","cybok07","cybok08","cybok09","cybok10","cybok11","cybok12","cybok13","cybok14","cybok15","cybok16","cybok17","cybok18","cybok19","onlineActivities.email.","onlineActivities.sn.","onlineActivities.news.","onlineActivities.conf.","onlineActivities.im.","onlineActivities.stream.","onlineActivities.games.","onlineHours","general.folkG01.","general.folkG02.","general.folkG03.","general.folkG04.","general.folkG05.","general.folkG06.","general.folkG07.","general.folkG08.","edu","ITbg","cyberBg","highschool","undergrad","englishLevel","courses.cs.","courses.net.","courses.os.","courses.usec.","courses.se.","courses.prof.","courses.hci.","courses.crypto.","courses.sp.","courses.block.","courses.ethics.","courses.cyber.","courses.iot.","courses.st.","courses.arch.","courses.ds.","courses.none.","courseCurrent.sd.","courseCurrent.crypto.","courseCurrent.iot.","courseCurrent.sp.","courseCurrent.arch.","courseCurrent.usec.","courseCurrent.os.","courseCurrent.st.","courseCurrent.cs.","courseCurrent.none.","certificates","age","gender","courseConsent","researchConsent","interviewtime"
"11","Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Sometimes","Always","Always","Often","Rarely","Sometimes","Rarely","Never","Rarely","Always","Often","Sometimes","Never","Sometimes","Always","Always","Always","Agree","Strongly Disagree","Disagree","Agree","Neither Agree nor Disagree","Agree","Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Disagree","Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Always","Always","Always","Always","Always","Always","Always","Always","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Disagree","Sometimes","Often","Rarely","Rarely","Rarely","Always","Always","Often","Often","Always","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Daily","2-3 Times a Week","Daily","Once a Month or Less","Daily","Never","Never","8-10 hours","Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","UG4 student","No","None","EU","","Fluent","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",22,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",2958.97
"12","Agree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Always","Always","Often","Often","Always","Rarely","Often","Never","Rarely","Always","Often","Never","Sometimes","Always","Often","Always","Sometimes","Agree","Strongly Disagree","Neither Agree nor Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Always","Always","Always","Often","Sometimes","Always","Never","Often","Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Agree","Disagree","Strongly Agree","Disagree","Sometimes","Always","Never","Sometimes","Always","Often","Never","Always","Often","Often","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Multiple Times a Day","Multiple Times a Day","Daily","Once a Month or Less","Daily","2-3 Times a Month","Daily","8-10 hours","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Agree","PhD student","No","None","EU","EU","Fluent","No","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",23,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",17454.6
"13","Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Sometimes","Always","Sometimes","Always","Often","Always","Often","Never","Rarely","Always","Sometimes","Never","Rarely","Rarely","Rarely","Often","Rarely","Neither Agree nor Disagree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Agree","Disagree","Neither Agree nor Disagree","Disagree","Disagree","Strongly Agree","Agree","Strongly Disagree","Sometimes","Often","Often","Rarely","Rarely","Always","Often","Always","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Agree","Disagree","Disagree","Neither Agree nor Disagree","Agree","Agree","Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Rarely","Sometimes","Sometimes","Often","Always","Often","Never","Always","Rarely","Always","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","2-3 Times a Month","Multiple Times a Day","2-3 Times a Week","Never","Multiple Times a Day","Daily","2-3 Times a Week","8-10 hours","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","UG4 student","Yes","None","United Kingdom","","Native speaker","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No",23,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",929.04
"14","Agree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Sometimes","Always","Always","Always","Rarely","Always","Always","Never","Rarely","Always","Never","Never","Always","Rarely","Often","Always","Always","Agree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Agree","Strongly Disagree","Sometimes","Always","Always","Sometimes","Always","Always","Always","Always","Agree","Neither Agree nor Disagree","Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Disagree","Often","Always","Always","Often","Always","Always","Sometimes","Always","Sometimes","Always","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Multiple Times a Day","Multiple Times a Day","Once a Week","2-3 Times a Month","Multiple Times a Day","2-3 Times a Week","2-3 Times a Week","More than 10 hours","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","UG3 student","Yes","None","EU","","Fluent","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No",19,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",852.43
"15","Agree","Strongly Agree","Strongly Disagree","Somewhat Agree","Rarely","Always","Always","Always","Always","Often","Rarely","Never","Never","Always","Rarely","Rarely","Never","Never","Often","Sometimes","Always","Agree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Always","Always","Often","Sometimes","Sometimes","Always","Often","Often","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Agree","Rarely","Often","Rarely","Rarely","Often","Always","Rarely","Always","Often","Often","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Daily","Multiple Times a Day","Daily","2-3 Times a Week","Multiple Times a Day","2-3 Times a Week","Once a Week","8-10 hours","Neither Agree nor Disagree","Strongly Agree","Agree","Disagree","Strongly Agree","Disagree","Neither Agree nor Disagree","Disagree","MSc (Masters) student","No","None","overseas","overseas","Intermediate","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No",24,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",945.24
"16","Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Always","Always","Never","Always","Often","Sometimes","Often","Rarely","Rarely","Always","Rarely","Sometimes","Rarely","Rarely","Rarely","Always","Never","Neither Agree nor Disagree","Strongly Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Agree","Strongly Disagree","Never","Always","Always","Never","Never","Always","Often","Always","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Often","Always","Always","Always","Always","Always","Rarely","Always","Never","Always","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","5-7 hours","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","PhD student","Yes","None","EU","overseas","Fluent","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",25,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",712.55
"17","Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Always","Always","Often","Always","Always","Always","Sometimes","Never","Always","Always","Always","Always","Rarely","Often","Often","Sometimes","Rarely","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Strongly Disagree","Sometimes","Sometimes","Often","Rarely","Rarely","Often","Often","Sometimes","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Strongly Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Often","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Multiple Times a Day","Multiple Times a Day","Daily","Once a Month or Less","Multiple Times a Day","2-3 Times a Week","Never","2-4 hours","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","UG3 student","Yes","None","overseas","","Native speaker","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",20,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",740.52
"18","Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Always","Always","Often","Always","Often","Always","Sometimes","Never","Rarely","Always","Sometimes","Sometimes","Often","Rarely","Rarely","Sometimes","Sometimes","Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Always","Always","Often","Often","Sometimes","Often","Often","Often","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Never","Sometimes","Never","Often","Often","Always","Sometimes","Sometimes","Often","Often","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","Multiple Times a Day","Daily","Multiple Times a Day","2-3 Times a Week","2-3 Times a Week","Multiple Times a Day","Never","5-7 hours","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Agree","Disagree","Disagree","Neither Agree nor Disagree","MSc (Masters) student","No","None","EU","EU","Native speaker","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",32,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",675.4
"19","Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Always","Always","Always","Always","Often","Sometimes","Often","Rarely","Often","Always","Rarely","Often","Often","Often","Often","Often","Never","Agree","Strongly Disagree","Agree","Disagree","Neither Agree nor Disagree","Agree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Agree","Strongly Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Strongly Disagree","Rarely","Rarely","Always","Rarely","Rarely","Often","Often","Always","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Rarely","Often","Never","Often","Often","Sometimes","Rarely","Often","Rarely","Always","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Multiple Times a Day","Daily","Once a Week","Never","Daily","2-3 Times a Week","2-3 Times a Week","5-7 hours","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","PhD student","Yes","None","EU","United Kingdom","Native speaker","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",25,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1454.91
"20","Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Always","Always","Always","Always","Often","Often","Always","Never","Rarely","Always","Rarely","Never","Often","Sometimes","Often","Always","Sometimes","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Disagree","Agree","Agree","Agree","Disagree","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Often","Always","Always","Rarely","Often","Always","Sometimes","Sometimes","Never","Always","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Multiple Times a Day","2-3 Times a Week","Multiple Times a Day","2-3 Times a Month","Multiple Times a Day","Once a Week","Never","8-10 hours","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","UG5/MInf student","Yes","0-3 years","EU","","Fluent","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",22,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",5130.07
"21","Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Never","Always","Often","Rarely","Often","Sometimes","Rarely","Often","Often","Always","Rarely","Sometimes","Rarely","Often","Rarely","Rarely","Never","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Always","Always","Always","Never","Rarely","Often","Always","Often","Neither Agree nor Disagree","Agree","Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Agree","Disagree","Disagree","Neither Agree nor Disagree","Agree","Strongly Disagree","Never","Rarely","Never","Often","Often","Often","Rarely","Rarely","Rarely","Sometimes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Multiple Times a Day","Multiple Times a Day","Daily","Once a Month or Less","Multiple Times a Day","2-3 Times a Week","2-3 Times a Month","5-7 hours","Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","UG4 student","Yes","None","EU","","Fluent","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",21,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1856.81
"22","Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Never","Never","Never","Always","Always","Rarely","Rarely","Always","Often","Always","Sometimes","Never","Rarely","Never","Sometimes","Often","Never","Agree","Strongly Disagree","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Never","Always","Always","Often","Never","Always","Always","Always","Neither Agree nor Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Never","Often","Never","Rarely","Always","Always","Never","Often","Sometimes","Often","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Daily","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","8-10 hours","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","UG1/UG2 student","No","None","EU","","Intermediate","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No",20,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",4824.59
"23","Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Always","Always","Rarely","Always","Always","Sometimes","Sometimes","Often","Rarely","Always","Often","Sometimes","Rarely","Sometimes","Rarely","Rarely","Rarely","Agree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Agree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Agree","Agree","Rarely","Sometimes","Often","Rarely","Rarely","Always","Often","Always","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Rarely","Rarely","Sometimes","Often","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Sometimes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","Never","Once a Week","Daily","Never","8-10 hours","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","MSc (Masters) student","Yes","None","overseas","United Kingdom","Fluent","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",22,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",761.95
"24","Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Always","Always","Sometimes","Always","Often","Sometimes","Often","Often","Sometimes","Always","Often","Rarely","Often","Rarely","Often","Often","Often","Agree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Neither Agree nor Disagree","Disagree","Agree","Agree","Disagree","Often","Often","Often","Often","Often","Often","Often","Often","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Sometimes","Often","Sometimes","Never","Often","Often","Sometimes","Often","Often","Sometimes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","2-3 Times a Week","2-3 Times a Week","2-3 Times a Week","Never","Once a Month or Less","Once a Week","2-3 Times a Week","5-7 hours","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","UG1/UG2 student","No","None","United Kingdom","","Native speaker","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No",19,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",791.27
"25","Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Always","Always","Sometimes","Always","Often","Sometimes","Sometimes","Never","Never","Always","Rarely","Never","Always","Never","Always","Always","Often","Agree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Often","Always","Always","Always","Always","Always","Often","Always","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Strongly Disagree","Strongly Agree","Disagree","Disagree","Strongly Agree","Neither Agree nor Disagree","Agree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Strongly Disagree","Rarely","Always","Sometimes","Always","Always","Always","Rarely","Always","Always","Always","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Multiple Times a Day","Multiple Times a Day","Daily","Once a Month or Less","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","8-10 hours","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","UG4 student","Yes","None","EU","","Fluent","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","No",21,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",646.92
"26","Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Always","Always","Always","Always","Often","Sometimes","Rarely","Sometimes","Rarely","Always","Often","Often","Often","Rarely","Rarely","Often","Rarely","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Strongly Agree","Agree","Disagree","Sometimes","Sometimes","Often","Rarely","Sometimes","Always","Sometimes","Often","Agree","Agree","Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Disagree","Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Rarely","Never","Never","Sometimes","Often","Rarely","Often","Often","Rarely","Often","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","2-3 Times a Week","Multiple Times a Day","Once a Week","Never","2-4 hours","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Disagree","Disagree","UG1/UG2 student","No","None","overseas","","Native speaker","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No",19,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",560.46
